I0625 18:12:24.107207       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-69mms" "namespace"="default" 
I0625 18:12:24.130446       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-69mms" "namespace"="default" 
I0625 18:12:24.148991       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-f68fq" "namespace"="default" 
I0625 18:12:24.149336       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-69mms" "namespace"="default" 
I0625 18:12:24.161917       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-f68fq" "namespace"="default" 
I0625 18:12:24.184856       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-f68fq" "namespace"="default" 
I0625 18:12:24.190203       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-9swsc" "namespace"="default" 
I0625 18:12:24.196011       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-f68fq" "namespace"="default" 
I0625 18:12:24.205562       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-9swsc" "namespace"="default" 
I0625 18:12:24.226017       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-9swsc" "namespace"="default" 
I0625 18:12:24.229181       1 azurecluster_controller.go:156] controllers/AzureCluster "msg"="Reconciling AzureCluster" "AzureCluster"="capz-cluster" "cluster"="capz-cluster" "namespace"="default" 
I0625 18:12:24.234419       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-lvls9" "namespace"="default" 
I0625 18:12:24.240314       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-9swsc" "namespace"="default" 
I0625 18:12:24.252724       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-lvls9" "namespace"="default" 
I0625 18:12:24.253096       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-69mms" "namespace"="default" 
I0625 18:12:24.253254       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-f68fq" "namespace"="default" 
I0625 18:12:24.253367       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-9swsc" "namespace"="default" 
I0625 18:12:24.253542       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-lvls9" "namespace"="default" 
I0625 18:12:24.274146       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-lvls9" "namespace"="default" 
I0625 18:12:24.289218       1 azuremachine_controller.go:137] controllers/AzureMachine "msg"="Machine Controller has not yet set OwnerRef" "azureMachine"="capz-cluster-md-0-lvls9" "namespace"="default" 
E0625 18:12:24.604072       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-9swsc" "namespace"="default"
I0625 18:12:24.635832       1 virtualnetworks.go:34]  "msg"="Getting existing virtual network"  
I0625 18:12:24.823922       1 virtualnetworks.go:49]  "msg"="Virtual Network CIDR: 10.57.48.0/21"  
I0625 18:12:24.969943       1 azurecluster_controller.go:171]  "msg"="Setting the ControlPlaneEndpointIP as 10.57.48.168 and APIServerPort as 6443"  
I0625 18:12:25.397593       1 azurecluster_controller.go:156] controllers/AzureCluster "msg"="Reconciling AzureCluster" "AzureCluster"="capz-cluster" "cluster"="capz-cluster" "namespace"="default" 
I0625 18:12:25.585257       1 virtualnetworks.go:34]  "msg"="Getting existing virtual network"  
I0625 18:12:25.738570       1 virtualnetworks.go:49]  "msg"="Virtual Network CIDR: 10.57.48.0/21"  
E0625 18:12:25.883762       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-69mms" "namespace"="default"
I0625 18:12:25.884173       1 azurecluster_controller.go:171]  "msg"="Setting the ControlPlaneEndpointIP as 10.57.48.168 and APIServerPort as 6443"  
I0625 18:12:26.187790       1 azurecluster_controller.go:156] controllers/AzureCluster "msg"="Reconciling AzureCluster" "AzureCluster"="capz-cluster" "cluster"="capz-cluster" "namespace"="default" 
I0625 18:12:26.365338       1 virtualnetworks.go:34]  "msg"="Getting existing virtual network"  
I0625 18:12:26.508369       1 virtualnetworks.go:49]  "msg"="Virtual Network CIDR: 10.57.48.0/21"  
I0625 18:12:26.652080       1 azurecluster_controller.go:171]  "msg"="Setting the ControlPlaneEndpointIP as 10.57.48.168 and APIServerPort as 6443"  
E0625 18:12:27.161871       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-lvls9" "namespace"="default"
